new_line_id,epe_line_id,voltage_V,length_km
0,ml_line_0,230000.0,37.61924312
1,ml_line_1,230000.0,50.18609419
2,ml_line_2,500000.0,0.93334582
3,ml_line_3,500000.0,237.67815317
4,ml_line_4,230000.0,16.75545128
5,ml_line_5,345000.0,199.56208791
6,ml_line_6,230000.0,206.97927376
7,ml_line_7,230000.0,23.01712495
8,ml_line_8,230000.0,18.79188271
9,ml_line_9,500000.0,13.33181967
10,ml_line_10,230000.0,148.76014637
11,ml_line_11,230000.0,87.84150194
12,ml_line_12,230000.0,11.02273965
13,ml_line_13,230000.0,24.52435763
14,ml_line_14,345000.0,143.49016428
15,ml_line_15,345000.0,63.1479544
16,ml_line_16,230000.0,82.3601206
17,ml_line_17,500000.0,165.6474816
18,ml_line_18,500000.0,0.45865465
19,ml_line_19,230000.0,127.11229579
20,ml_line_20,230000.0,14.79804371
21,ml_line_21,230000.0,3.50827944
22,ml_line_22,230000.0,79.10621822
23,ml_line_23,230000.0,57.07325874
24,ml_line_24,500000.0,249.67497557
25,ml_line_25,230000.0,35.97096274
26,ml_line_26,230000.0,6.08375861
27,ml_line_27,230000.0,195.96460621
28,ml_line_28,500000.0,13.54366762
29,ml_line_29,230000.0,96.14746932
30,ml_line_30,525000.0,29.3861426
31,ml_line_31,230000.0,17.97896048
32,ml_line_32,230000.0,134.68179147
33,ml_line_33,500000.0,70.73388126
34,ml_line_34,525000.0,93.9985617
35,ml_line_35,230000.0,236.64099486
36,ml_line_36,230000.0,21.66292787
37,ml_line_37,230000.0,23.4764643
38,ml_line_38,230000.0,23.11828052
39,ml_line_39,230000.0,104.07192292
40,ml_line_40,440000.0,321.36638554
41,ml_line_41,345000.0,126.59743339
42,ml_line_42,230000.0,167.88851593
43,ml_line_43,230000.0,15.19261122
44,ml_line_44,230000.0,127.0464213
45,ml_line_45,230000.0,17.60606677
46,ml_line_46,230000.0,73.09737168
47,ml_line_47,345000.0,200.84814102
48,ml_line_48,500000.0,151.75575406
49,ml_line_49,230000.0,86.39695434
50,ml_line_50,230000.0,25.69501894
51,ml_line_51,230000.0,0.44230975
52,ml_line_52,440000.0,90.64134859
53,ml_line_53,230000.0,41.54732443
54,ml_line_54,230000.0,1.0438169
55,ml_line_55,500000.0,200.22413384
56,ml_line_56,230000.0,0.09997843
57,ml_line_57,525000.0,257.82955437
58,ml_line_58,345000.0,97.19917421
59,ml_line_59,345000.0,21.3400689
60,ml_line_60,230000.0,7.23484664
61,ml_line_61,230000.0,23.09172222
62,ml_line_62,500000.0,124.68873604
63,ml_line_63,345000.0,14.0165415
64,ml_line_64,525000.0,58.87001488
65,ml_line_65,440000.0,29.94421575
66,ml_line_66,500000.0,214.17625379
67,ml_line_67,230000.0,60.50830977
68,ml_line_68,230000.0,151.96195353
69,ml_line_69,500000.0,32.35617352
70,ml_line_70,230000.0,108.8595129
71,ml_line_71,230000.0,160.83912081
72,ml_line_72,230000.0,1.30122633
73,ml_line_73,230000.0,11.82053534
74,ml_line_74,230000.0,8.81926001
75,ml_line_75,345000.0,7.53037879
76,ml_line_76,230000.0,25.48745294
77,ml_line_77,230000.0,168.31888455
78,ml_line_78,230000.0,141.63192385
79,ml_line_79,345000.0,24.30173924
80,ml_line_80,230000.0,51.47806066
81,ml_line_81,230000.0,5.95157155
82,ml_line_82,230000.0,34.84125502
83,ml_line_83,230000.0,226.06685248
84,ml_line_84,525000.0,243.30962988
85,ml_line_85,230000.0,112.16512958
86,ml_line_86,230000.0,210.18998112
87,ml_line_87,500000.0,160.49003864
88,ml_line_88,230000.0,53.15679786
89,ml_line_89,500000.0,226.99951934
90,ml_line_90,230000.0,9.06213146
91,ml_line_91,230000.0,129.21572245
92,ml_line_92,230000.0,0.32100141
93,ml_line_93,345000.0,0.74131302
94,ml_line_94,500000.0,345.26021373
95,ml_line_95,230000.0,210.08539213
96,ml_line_96,230000.0,10.70483394
97,ml_line_97,230000.0,47.18696575
98,ml_line_98,440000.0,63.42827337
99,ml_line_99,230000.0,19.83955805
100,ml_line_100,230000.0,19.83955805
101,ml_line_101,230000.0,42.83340522
102,ml_line_102,230000.0,116.33212812
103,ml_line_103,500000.0,385.58167811
104,ml_line_104,230000.0,104.36101721
105,ml_line_105,230000.0,136.07919032
106,ml_line_106,230000.0,30.4800511
107,ml_line_107,230000.0,185.07450341
108,ml_line_108,440000.0,1.0113012
109,ml_line_109,345000.0,35.76514189
110,ml_line_110,230000.0,64.70416371
111,ml_line_111,230000.0,33.48566808
112,ml_line_112,230000.0,40.59670775
113,ml_line_113,230000.0,94.3721889
114,ml_line_114,230000.0,7.4280518
115,ml_line_115,230000.0,21.28873116
116,ml_line_116,230000.0,44.6737342
117,ml_line_117,500000.0,7.85028704
118,ml_line_118,500000.0,9.19050069
119,ml_line_119,345000.0,4.74590935
120,ml_line_120,230000.0,32.69933525
121,ml_line_121,345000.0,13.009617
122,ml_line_122,230000.0,46.95382037
123,ml_line_123,230000.0,167.34645681
124,ml_line_124,230000.0,64.06759009
125,ml_line_125,525000.0,236.44156361
126,ml_line_126,230000.0,10.77511182
127,ml_line_127,230000.0,53.9151834
128,ml_line_128,500000.0,11.93729495
129,ml_line_129,230000.0,32.66130114
130,ml_line_130,230000.0,104.30584933
131,ml_line_131,230000.0,107.061342
132,ml_line_132,440000.0,33.47776525
133,ml_line_133,230000.0,0.46113035
134,ml_line_134,500000.0,236.64657478
135,ml_line_135,525000.0,121.96906635
136,ml_line_136,765000.0,272.27557884
137,ml_line_137,500000.0,193.77558929
138,ml_line_138,500000.0,65.245821
139,ml_line_139,230000.0,173.91143129
140,ml_line_140,230000.0,11.87515858
141,ml_line_141,230000.0,10.65860844
142,ml_line_142,230000.0,0.09067185
143,ml_line_143,345000.0,13.29916798
144,ml_line_144,345000.0,30.20897221
145,ml_line_145,230000.0,26.9273151
146,ml_line_146,230000.0,57.02211464
147,ml_line_147,230000.0,19.47818033
148,ml_line_148,230000.0,24.84183301
149,ml_line_149,525000.0,35.57757335
150,ml_line_150,345000.0,25.25227897
151,ml_line_151,500000.0,236.99149218
152,ml_line_152,230000.0,17.8542743
153,ml_line_153,230000.0,161.65705084
154,ml_line_154,230000.0,107.22775048
155,ml_line_155,230000.0,6.1218936
156,ml_line_156,345000.0,0.41059927
157,ml_line_157,500000.0,82.39395302
158,ml_line_158,230000.0,1.56738269
159,ml_line_159,230000.0,2.07793134
160,ml_line_160,345000.0,16.36070533
161,ml_line_161,345000.0,26.21038009
162,ml_line_162,230000.0,0.60106662
163,ml_line_163,230000.0,3.2280021
164,ml_line_164,230000.0,12.2618995
165,ml_line_165,500000.0,14.05304069
166,ml_line_166,230000.0,41.78342036
167,ml_line_167,500000.0,414.88081662
168,ml_line_168,230000.0,278.8000699
169,ml_line_169,230000.0,240.48543728
170,ml_line_170,500000.0,0.76099673
171,ml_line_171,500000.0,222.77846628
172,ml_line_172,230000.0,17.76714041
173,ml_line_173,230000.0,97.57061843
174,ml_line_174,500000.0,167.67080254
175,ml_line_175,230000.0,22.17800477
176,ml_line_176,230000.0,0.111437
177,ml_line_177,230000.0,84.01979386
178,ml_line_178,230000.0,127.51946094
179,ml_line_179,230000.0,74.71024104
180,ml_line_180,230000.0,80.22743432
181,ml_line_181,230000.0,70.91258778
182,ml_line_182,230000.0,20.54538687
183,ml_line_183,230000.0,99.92342939
184,ml_line_184,345000.0,131.49277811
185,ml_line_185,230000.0,53.56888854
186,ml_line_186,230000.0,87.92710615
187,ml_line_187,230000.0,200.7822161
188,ml_line_188,230000.0,15.68048297
189,ml_line_189,500000.0,19.40538842
190,ml_line_190,230000.0,40.77712437
191,ml_line_191,230000.0,153.13799059
192,ml_line_192,500000.0,415.04911434
193,ml_line_193,230000.0,34.5555935
194,ml_line_194,440000.0,124.50770975
195,ml_line_195,230000.0,207.7551292
196,ml_line_196,230000.0,5.75878443
197,ml_line_197,230000.0,74.54086846
