new_bus_id,epe_bus_id,new_station_id,epe_station_id,voltage_V,lon,lat
0,ml_st_0_525,0,ml_st_0,525000.0,-51.07219306,-27.57180736
1,ml_st_0_230,0,ml_st_0,230000.0,-51.07219306,-27.57180736
2,ml_st_1_230,1,ml_st_1,230000.0,-65.16752247,-9.71103552
3,ml_st_1_138,1,ml_st_1,138000.0,-65.16752247,-9.71103552
4,ml_st_2_500,2,ml_st_2,500000.0,-47.403437,-4.91898605
5,ml_st_3_230,3,ml_st_3,230000.0,-40.11407421,-2.92766239
6,ml_st_3_69,3,ml_st_3,69000.0,-40.11407421,-2.92766239
7,ml_st_4_230,4,ml_st_4,230000.0,-36.90839717,-5.59277794
8,ml_st_4_138,4,ml_st_4,138000.0,-36.90839717,-5.59277794
9,ml_st_4_69,4,ml_st_4,69000.0,-36.90839717,-5.59277794
10,ml_st_5_500,5,ml_st_5,500000.0,-37.02968156,-5.57882845
11,ml_st_5_230,5,ml_st_5,230000.0,-37.02968156,-5.57882845
12,ml_st_6_500,6,ml_st_6,500000.0,-43.47633645,-22.66579527
13,ml_st_6_345,6,ml_st_6,345000.0,-43.47633645,-22.66579527
14,ml_st_6_138,6,ml_st_6,138000.0,-43.47633645,-22.66579527
15,ml_st_7_440,7,ml_st_7,440000.0,-46.40137444,-23.37504985
16,ml_st_7_138,7,ml_st_7,138000.0,-46.40137444,-23.37504985
17,ml_st_8_500,8,ml_st_8,500000.0,-50.348877,-19.860901
18,ml_st_8_440,8,ml_st_8,440000.0,-50.348877,-19.860901
19,ml_st_8_138,8,ml_st_8,138000.0,-50.348877,-19.860901
20,ml_st_9_230,9,ml_st_9,230000.0,-48.27570866,-15.76753517
21,ml_st_9_69,9,ml_st_9,69000.0,-48.27570866,-15.76753517
22,ml_st_10_230,10,ml_st_10,230000.0,-55.72481046,-29.77749996
23,ml_st_10_69,10,ml_st_10,69000.0,-55.72481046,-29.77749996
24,ml_st_11_230,11,ml_st_11,230000.0,-52.17962128,-3.13688171
25,ml_st_11_69,11,ml_st_11,69000.0,-52.17962128,-3.13688171
26,ml_st_12_230,12,ml_st_12,230000.0,-55.84166709,-20.56760084
27,ml_st_12_138,12,ml_st_12,138000.0,-55.84166709,-20.56760084
28,ml_st_13_230,13,ml_st_13,230000.0,-50.19299229,-23.07730931
29,ml_st_13_138,13,ml_st_13,138000.0,-50.19299229,-23.07730931
30,ml_st_14_230,14,ml_st_14,230000.0,-36.29460629,-8.89344329
31,ml_st_14_69,14,ml_st_14,69000.0,-36.29460629,-8.89344329
32,ml_st_15_500,15,ml_st_15,500000.0,-44.45594721,-23.00690292
33,ml_st_15_138,15,ml_st_15,138000.0,-44.45594721,-23.00690292
34,ml_st_16_345,16,ml_st_16,345000.0,-46.76829923,-23.4931605
35,ml_st_16_230,16,ml_st_16,230000.0,-46.76829923,-23.4931605
36,ml_st_16_88,16,ml_st_16,88000.0,-46.76829923,-23.4931605
37,ml_st_17_230,17,ml_st_17,230000.0,-45.2550133,-22.86910151
38,ml_st_17_88,17,ml_st_17,88000.0,-45.2550133,-22.86910151
39,ml_st_18_230,18,ml_st_18,230000.0,-51.44679836,-23.53451958
40,ml_st_18_138,18,ml_st_18,138000.0,-51.44679836,-23.53451958
41,ml_st_19_230,19,ml_st_19,230000.0,-37.76327093,-4.48815009
42,ml_st_20_230,20,ml_st_20,230000.0,-42.02005542,-16.83429287
43,ml_st_20_138,20,ml_st_20,138000.0,-42.02005542,-16.83429287
44,ml_st_21_230,21,ml_st_21,230000.0,-36.64958945,-9.78688035
45,ml_st_21_69,21,ml_st_21,69000.0,-36.64958945,-9.78688035
46,ml_st_22_440,22,ml_st_22,440000.0,-48.26392,-21.782681
47,ml_st_22_138,22,ml_st_22,138000.0,-48.26392,-21.782681
48,ml_st_23_500,23,ml_st_23,500000.0,-48.25342601,-21.77400103
49,ml_st_24_500,24,ml_st_24,500000.0,-48.34966944,-21.83356413
50,ml_st_24_440,24,ml_st_24,440000.0,-48.34966944,-21.83356413
51,ml_st_25_440,25,ml_st_25,440000.0,-47.461887,-22.395742
52,ml_st_25_138,25,ml_st_25,138000.0,-47.461887,-22.395742
53,ml_st_26_230,26,ml_st_26,230000.0,-37.00373269,-8.49920029
54,ml_st_26_69,26,ml_st_26,69000.0,-37.00373269,-8.49920029
55,ml_st_27_525,27,ml_st_27,525000.0,-51.600344,-25.969181
56,ml_st_27_230,27,ml_st_27,230000.0,-51.600344,-25.969181
57,ml_st_27_138,27,ml_st_27,138000.0,-51.600344,-25.969181
58,ml_st_28_230,28,ml_st_28,230000.0,-63.01232074,-9.92635945
